title,category,description,passingScore,timeLimitMinutes,status,text,option1,option2,option3,option4,correctIndex,points,timeLimitSeconds
,,,,,,حضرت داؤد پر کون سی کتاب نازل ہوئی؟,توریت,زبور,انجیل,قرآن,1,5,30
,,,,,,حضرت موسیٰ پر کون سی کتاب نازل ہوئی؟,زبور,انجیل,توریت,قرآن,2,5,30
,,,,,,حضرت عیسیٰ پر کون سی کتاب نازل ہوئی؟,توریت,زبور,قرآن,انجیل,3,5,30
,,,,,,اللہ کے آخری نبی کون ہیں؟,حضرت عیسیٰ,حضرت ادریس,حضرت محمد ﷺ,حضرت نوح,2,5,30
,,,,,,معراج کس رات کو ہوئی؟,27 رجب,27 شعبان,27 رمضان,27 محرم,0,5,30
,,,,,,اذان میں الصلاۃ خیر من النوم کس نماز میں کہا جاتا ہے؟,فجر,ظہر,عصر,مغرب,0,5,30
,,,,,,جنت کے کتنے دروازے ہیں؟,چار,چھ,آٹھ,دس,2,5,30
,,,,,,دوزخ کے کتنے دروازے ہیں؟,پانچ,چھ,سات,آٹھ,2,5,30
,,,,,,غزوہ احد کب ہوا؟,2 ہجری,3 ہجری,4 ہجری,5 ہجری,1,5,30
,,,,,,غزوہ خندق کب ہوا؟,3 ہجری,4 ہجری,5 ہجری,6 ہجری,2,5,30
,,,,,,فتح مکہ کب ہوئی؟,6 ہجری,7 ہجری,8 ہجری,9 ہجری,2,5,30
,,,,,,اللہ تعالیٰ کے کتنے نام ہیں؟,99,100,101,1000,0,5,30
,,,,,,توحید کا مطلب کیا ہے؟,اللہ پر ایمان,اللہ کی وحدانیت,نبی پر ایمان,قرآن پر ایمان,1,5,30
,,,,,,شرک سے کیا مراد ہے؟,اللہ کو ماننا,اللہ کے ساتھ شریک کرنا,نماز چھوڑنا,جھوٹ بولنا,1,5,30
,,,,,,سبحان اللہ کہنا کیا ہے؟,تحمید,تسبیح,تکبیر,تہلیل,1,5,30
,,,,,,الحمد للہ کہنا کیا ہے؟,تسبیح,تحمید,تکبیر,تہلیل,1,5,30
,,,,,,اللہ اکبر کہنا کیا ہے؟,تسبیح,تحمید,تکبیر,تہلیل,2,5,30
,,,,,,لا الہ الا اللہ کہنا کیا ہے؟,تسبیح,تحمید,تکبیر,تہلیل,3,5,30
,,,,,,قیامت کے دن سب سے پہلے کس عمل کا حساب ہوگا؟,مال کا,نماز کا,روزے کا,حج کا,1,5,30
,,,,,,شیطان کا اصل نام کیا تھا؟,عزرائیل,عزازیل,جبرائیل,میکائیل,1,5,30
,,,,,,روح قبض کرنے والا فرشتہ کون ہے؟,جبرائیل,میکائیل,عزرائیل,اسرافیل,2,5,30
,,,,,,صور پھونکنے والا فرشتہ کون ہے؟,جبرائیل,میکائیل,عزرائیل,اسرافیل,3,5,30
,,,,,,صدیق کا لقب کسے ملا؟,حضرت عمر,حضرت ابوبکر,حضرت علی,حضرت عثمان,1,5,30
,,,,,,فاروق کا لقب کسے ملا؟,حضرت ابوبکر,حضرت عثمان,حضرت عمر,حضرت علی,2,5,30
,,,,,,ذو النورین کا لقب کسے ملا؟,حضرت عمر,حضرت عثمان,حضرت ابوبکر,حضرت علی,1,5,30
,,,,,,کرم اللہ وجہہ کسے کہا جاتا ہے؟,حضرت ابوبکر,حضرت عمر,حضرت عثمان,حضرت علی,3,5,30
,,,,,,نماز جنازہ میں کتنی تکبیریں ہیں؟,تین,چار,پانچ,چھ,1,5,30
,,,,,,قرآن پاک کی سب سے بڑی آیت کون سی ہے؟,آیۃ الکرسی,آیت مداینہ,سورۃ الفاتحہ,آیت الصیام,1,5,30
,,,,,,پہلی اذان کس نے دی؟,حضرت بلال,حضرت ابوذر,حضرت سلمان,حضرت ابن مسعود,0,5,30
,,,,,,امت محمدیہ میں پہلی شہیدہ کون ہیں؟,حضرت حمزہ,حضرت خبیب,حضرت سمیہ,حضرت یاسر,2,5,30
,,,,,,قرآن پاک کو یاد کرنے والے کو کیا کہتے ہیں؟,عالم,حافظ,قاری,فقیہ,1,5,30
,,,,,,حدیث کسے کہتے ہیں؟,قرآن کی تفسیر,نبی ﷺ کے اقوال و افعال,فقہ کے مسائل,صحابہ کے فیصلے,1,5,30
,,,,,,عید الفطر کب منائی جاتی ہے؟,10 ذوالحجہ,1 شوال,1 رمضان,27 رجب,1,5,30
,,,,,,عید الاضحیٰ کب منائی جاتی ہے؟,1 شوال,10 ذوالحجہ,1 محرم,15 شعبان,1,5,30
,,,,,,بسم اللہ الرحمن الرحیم میں کتنے حروف ہیں؟,17,18,19,20,2,5,30
,,,,,,کلمہ طیبہ کون سا ہے؟,الحمد للہ,سبحان اللہ,لا الہ الا اللہ محمد رسول اللہ,اللہ اکبر,2,5,30
,,,,,,نبی کریم ﷺ نے کتنی حج ادا فرمائی؟,ایک,دو,تین,چار,0,5,30
,,,,,,محرم الحرام میں عاشوراء کس دن آتا ہے؟,5 محرم,7 محرم,10 محرم,15 محرم,2,5,30
,,,,,,حضرت محمد ﷺ کے دشمن چچا کا نام کیا تھا؟,ابوطالب,حمزہ,عباس,ابولہب,3,5,30
,,,,,,حضرت خدیجہ حضرت محمد ﷺ سے کتنے سال بڑی تھیں؟,دس سال,پندرہ سال,بیس سال,پچیس سال,1,5,30
,,,,,,صلح حدیبیہ کب ہوئی؟,5 ہجری,6 ہجری,7 ہجری,8 ہجری,1,5,30
,,,,,,حضرت ابراہیم کس ملک میں پیدا ہوئے؟,شام,مصر,عراق,فلسطین,2,5,30
,,,,,,مکہ مکرمہ کا قدیم نام کیا ہے؟,یثرب,بکۃ,قریش,حجاز,1,5,30
,,,,,,مدینہ منورہ کا قدیم نام کیا ہے؟,بکۃ,یثرب,طابہ,طیبہ,1,5,30
,,,,,,اسلام میں پہلے قبلہ کی سمت کون سی تھی؟,مکہ,مدینہ,بیت المقدس,طائف,2,5,30
,,,,,,قبلہ کس سال مکہ کی طرف تبدیل ہوا؟,1 ہجری,2 ہجری,3 ہجری,4 ہجری,1,5,30
,,,,,,اسلام میں غسل کب فرض ہوتا ہے؟,روزانہ,جنابت کے بعد,ہر نماز سے پہلے,جمعہ کو,1,5,30
